RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           47     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  121  191     1     0  con    1   4.2D-01   2.6D-01  1.752D+01  4.010D+03
  122  192     1     0  con    0   1.0D+00   6.2D-01  1.755D+01  4.010D+03
  123  193     1     0  con    0   1.0D+00   1.6D-01  2.420D+01  4.010D+03
  124  194     1     0  con    0   1.0D+00   2.2D-01  1.756D+01  4.009D+03
  125  195     1     0  con    0   1.0D+00   2.8D-01  1.757D+01  4.009D+03
  126  196     1     0  con    0   1.0D+00   8.1D-03  1.757D+01  4.009D+03
  127  197     1     0  con    0   1.0D+00   2.8D-01  1.757D+01  4.009D+03
  128  199     1     0  con    1   3.8D-01   4.2D-01  1.758D+01  4.009D+03
  129  201     1     0  con    1   5.0D-01   2.8D-01  1.758D+01  4.009D+03
  130  202     1     0  con    0   1.0D+00   2.0D-01  1.758D+01  4.008D+03
  131  203     1     0  con    0   1.0D+00   3.1D-01  1.759D+01  4.008D+03
  132  205     1     0  con    1   2.5D-01   2.3D-01  1.759D+01  4.008D+03
  133  206     1     0  con    0   1.0D+00   5.1D-01  1.760D+01  4.008D+03
  134  207     1     0  con    0   1.0D+00   1.2D-01  1.760D+01  4.008D+03
  135  208     1     0  con    0   1.0D+00   5.6D-01  1.760D+01  4.007D+03
  136  209     1     0  con    0   1.0D+00   4.9D-02  1.761D+01  4.007D+03
  137  211     1     0  con    1   5.2D-01   3.6D-01  1.761D+01  4.007D+03
  138  212     1     0  con    0   1.0D+00   5.4D-01  1.763D+01  4.007D+03
  139  213     1     0  con    0   1.0D+00   8.0D-02  7.916D+00  4.007D+03
  140  214     1     0  con    0   1.0D+00   4.3D-01  1.764D+01  4.006D+03
  141  215     1     0  con    0   1.0D+00   2.3D-01  1.765D+01  4.006D+03
  142  216     1     0  con    0   1.0D+00   2.6D-01  8.721D+00  4.006D+03
  143  218     1     0  con    1   4.5D-01   2.3D-01  1.766D+01  4.006D+03
  144  219     1     0  con    0   1.0D+00   2.2D-01  1.767D+01  4.006D+03
  145  220     1     0  con    0   1.0D+00   1.7D-01  1.767D+01  4.006D+03
  146  221     1     0  con    0   1.0D+00   5.1D-01  1.768D+01  4.006D+03
  147  222     1     0  con    0   1.0D+00   6.6D-01  1.769D+01  4.006D+03
  148  223     1     0  con    0   1.0D+00   4.4D-01  2.398D+01  4.005D+03
  149  226     1     0  con    2   5.0D-02   1.9D-01  9.236D+00  4.005D+03
  150  228     1     0  con    1   3.2D-01   1.7D-01  1.768D+01  4.005D+03
  151  229     1     0  con    0   1.0D+00   1.1D-01  1.767D+01  4.005D+03
  152  230     1     0  con    0   1.0D+00   1.5D-01  1.767D+01  4.005D+03
  153  231     1     0  con    0   1.0D+00   2.7D-01  1.767D+01  4.004D+03
  154  232     1     0  con    0   1.0D+00   6.2D-01  1.767D+01  4.004D+03
  155  233     1     0  con    0   1.0D+00   3.9D-01  1.768D+01  4.004D+03
  156  235     1     0  con    1   2.6D-01   3.6D-01  1.769D+01  4.004D+03
  157  237     1     0  con    1   4.5D-01   3.4D-01  1.770D+01  4.004D+03
  158  238     1     0  con    0   1.0D+00   4.7D-01  1.771D+01  4.003D+03
  159  239     1     0  con    0   1.0D+00   3.3D-02  1.772D+01  4.003D+03
  160  241     1     0  con    1   4.3D-01   2.1D-01  1.773D+01  4.003D+03
  161  242     1     0  con    0   1.0D+00   1.8D-01  1.774D+01  4.003D+03
  162  243     1     0  con    0   1.0D+00   1.3D-01  1.774D+01  4.002D+03
  163  244     1     0  con    0   1.0D+00   4.3D-01  1.776D+01  4.002D+03
  164  245     1     0  con    0   1.0D+00   3.8D-01  1.776D+01  4.002D+03
  165  247     1     0  bnd    1   2.6D-01   2.4D-01  1.776D+01  4.002D+03
  166  248     1     0  con    0   1.0D+00   4.2D-01  1.776D+01  4.001D+03
  167  249     1     0  con    0   1.0D+00   1.4D-01  1.776D+01  4.001D+03
  168  250     1     0  bnd    0   1.0D+00   4.3D-01  1.777D+01  4.001D+03
  169  251     1     1  con    0   1.0D+00   1.8D-01  1.777D+01  4.001D+03
  170  252     1     1  bnd    0   1.0D+00   3.2D-01  1.777D+01  4.001D+03
  171  253     1     2  bnd    0   1.0D+00   4.3D-01  1.778D+01  4.000D+03
